name	type	units
Fp1	EEG	n/a
Fp2	EEG	n/a
F7	EEG	n/a
F3	EEG	n/a
Fz	EEG	n/a
F4	EEG	n/a
F8	EEG	n/a
T7	EEG	n/a
C3	EEG	n/a
Cz	EEG	n/a
C4	EEG	n/a
T8	EEG	n/a
P7	EEG	n/a
P3	EEG	n/a
Pz	EEG	n/a
P4	EEG	n/a
P8	EEG	n/a
O1	EEG	n/a
O2	EEG	n/a
